xi,xj,LLM_model,prompt_id
With great effort,"With great effort, the authors have shown that the presence of a single, large, and highly mobile, highly mobile, and highly mobile, and highly mobile, and highly mobile, and highly mobile, and highly mobile, and highly mobile, and highly",BLOOM,667
As they laughed,"As they laughed, their eyes fell down a little towards the dark green trees.",GPT-2,45
With a fizz,"With a fizz, you can just go in and out of the fountain and it will be fine.",OPT,633
With a sprinkle,With a sprinkle of salt.,OPT,655
She raised her,She raised her hands in protest.,GPT-2,259
The kata flowed,"The kata flowed well, but the execution was a bit sloppy.",OPT,458
The sun peeked,The sun peeked through the window and the sun was shining.,BLOOM,572
The fog rolled,"The fog rolled in, and the sun disappeared.",Falcon-7B,435
With a shrug,"With a shrug, the guard led me away from the others.",GPT-Neo,647
"Quietly, she crept","Quietly, she crept into the room, and
looked at the clock.",BLOOM,224
With great care,"With great care, the present invention encompasses a new, distinctive and valuable cultivar of geranium, botanically known as Pelargonium zonale, and hereinafter referred to by the cultivar name xe2x80x98",GPT-Neo,666
He sculpted the,He sculpted the statue of liberty.,OPT,129
As autumn came,"As autumn came to an end and the sun dropped below the horizon, a small group of people from the world’s three great religions gathered in the center of the ancient Japanese city of Kyoto.",GPT-Neo,3
In the pantry,In the pantry.,GPT-Neo,195
The cheese melted,The cheese melted on his mouth.,GPT-Neo,363
He walked away,"He walked away, taking one last glance, and then disappeared behind a row of houses.",GPT-Neo,142
She walked away,"She walked away from the car and then came back and said ""I'm sorry, I didn't mean to hit you.",OPT,278
The stars appeared,The stars appeared to align for the New York Giants on Sunday.,OPT,563
He spotted the,He spotted the opportunity to make a quick buck and he took it.,OPT,131
The flowers bloomed,"The flowers bloomed and began to flutter in the air, and were then picked at by bees, the bees, and the grasshoppers, at which point it was put away, and that is what was to happen, and it is said",GPT-2,433
In the backyard,"In the backyard of her East Hampton home, Julia Sorenson, a lifelong New Yorker, found a perfect spot to plant a garden.",GPT-Neo,149
The cat stretched,"The cat stretched out its paw and the dog was like ""oh shit, I'm in trouble""
I think the cat was just trying to get the dog to play with it.",OPT,360
The data revealed,The data revealed that most children were between three and seven years old and those under five are at higher risk.,GPT-2,391
The grain separated,The grain separated from the rest of the grain.,OPT,441
The song peaked,"The song peaked at #2 on Billboard's Hot 100 (behind Only the Brave's 'Don't Stand So Close to Me'), and went on to sell 7,500,000 copies in the United States alone as of December 2016.",GPT-Neo,560
At the corner,"At the corner of the street, the two men were
standing, and the woman was looking at them with a look of surprise.",BLOOM,69
The dog barked,"The dog barked—a strange, sharp sound to make at this time of the day.",GPT-Neo,397
The safe yielded,The safe yielded a lot of money.,OPT,543
The door closed,The door closed.,GPT-2,402
The dough rose,The dough rose and the dough rose and the dough rose and the dough rose and the dough rose and the dough rose and the dough rose and the dough rose and the dough rose and the dough rose and the dough rose and the dough rose and the,OPT,407
The clock ticked,The clock ticked past that point and it turned from a normal time to something that looked very natural.,GPT-2,372
The bird chirped,The bird chirped and flew away.,BLOOM,325
"Slowly, she breathed","Slowly, she breathed in and out, her eyes closed.",Falcon-7B,295
The mystery deepened,"The mystery deepened over the weekend as the FBI said this weekend it had ""no evidence"" to support a theory that the San Bernardino, California killings were an act of terrorism, despite a federal law enforcement official saying earlier he believed there was ""clear",GPT-Neo,499
The door creaked,The door creaked.,GPT-Neo,403
"Carefully, he placed","Carefully, he placed the box on the table and opened it.",Falcon-7B,76
At the corner,At the corner of the street has a little window with a little light.,GPT-2,69
The stone revealed,"The stone revealed a sign that someone was preparing for it, with a small print of the name and address stamped on it.",GPT-2,567
As they observed,"As they observed, she had said nothing.",GPT-Neo,48
In the basement,"In the basement of the library, the staff has a huge table full of books.",GPT-Neo,152
The test passed,The test passed.,BLOOM,580
With a gasp,"With a gasp, Lola grabbed a pillow and stood up.",GPT-2,637
With trembling hands,"With trembling hands, the man
stood up and looked at the girl.",BLOOM,668
In the foyer,In the foyer of the new $1.,Falcon-7B,174
Under the stars,"Under the stars, the stars are shining bright

The stars are shining bright

The stars are shining bright

The stars are shining bright

The stars are shining bright

The stars are shining bright

The stars are",OPT,618
With a smile,"With a smile, he said, “You’re not the only one.",BLOOM,649
As they listened,"As they listened to the crowd, they realized that they were going to have to do something.",OPT,46
The land provided,"The land provided by the government for the construction of the new airport is located in the village of Kavadarci, 10 km from the city of Skopje.",Falcon-7B,465
With a yawn,"With a yawn, I opened my eyes and looked around.",Falcon-7B,663
In the classroom,"In the classroom, teachers are taught to respect the individual learning styles and talents of their students while giving them ample opportunity to show what interests them.",GPT-Neo,159
As dawn broke,"As dawn broke over the city of New Orleans, the first of the rescue workers arrived.",Falcon-7B,4
The boat rocked,"The boat rocked gently in the water, the sun was shining and the sky was blue.",Falcon-7B,330
She waited for,She waited for the next day to get back to work.,BLOOM,277
The sword gleamed,The sword gleamed from that day.,GPT-2,577
The audience listened,"The audience listened to the stories of the “heroes” of the war, who were awarded the title of “Hero of the Soviet Union” and “Hero of the Russian Federation”.",Falcon-7B,313
She held her,"She held her hand and asked, ""Where did you get them?",GPT-2,247
The bell tolled,"The bell tolled, followed by a moment of silence, and then the sound of it began to toll again.",GPT-Neo,324
In the forest,"In the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in",OPT,173
"Carefully, he placed","Carefully, he placed himself in the position of a ""policeman"" whom, it seems, no one in government is going to tolerate when they put his career on the line.",GPT-2,76
The stairs creaked,The stairs creaked and the door opened.,BLOOM,562
With a nod,"With a nod to the “Greatest Show on Earth,” the 2019-2020 season of the Ringling Bros.",Falcon-7B,644
The wind whispered,"The wind whispered in the air, and the sound of the wind was
distinct.",BLOOM,611
The stairs creaked,The stairs creaked as they creaked.,OPT,562
As morning broke,"As morning broke, the sun was shining brightly, and the sky was blue.",OPT,11
The muscles warmed,"The muscles warmed up when we started in the new program, but they were still not completely healed, so the pain really started to creep up again.",GPT-2,494
The mystery deepened,"The mystery deepened when the man was found dead in a car in the parking lot of a hotel in the city of Puebla, Mexico, on Saturday.",OPT,499
In the study,"In the study of the history of the church, the 16th century is often called the “Reformation Century.",Falcon-7B,208
In the studio,"In the studio with the band

The band is back in the studio recording their new album.",OPT,207
She sketched the,"She sketched the idea of a large, square tower that would have a square roof that would be enclosed with towers.",GPT-2,268
With a yawn,"With a yawny neck, black hair, long stubby legs, and long-wiggly face, he is the most beautiful and handsome of the girls of the village.",GPT-2,663
The crop yielded,The crop yielded a lot of fruit.,OPT,381
The sword gleamed,"The sword gleamed in the sunlight, the blade gleamed in the sunlight, the blade gleamed in the sunlight, the blade gleamed in the sunlight, the blade gleamed in the sunlight, the blade gleamed in the sunlight, the",OPT,577
As they exercised,"As they exercised their right to free speech, the protesters were met with a barrage of tear gas and rubber bullets.",OPT,39
The safe yielded,The safe yielded $1.,Falcon-7B,543
"Quietly, he entered","Quietly, he entered the room, and sat down at the table.",OPT,217
He reached for,He reached for the gun.,OPT,123
In the park,"In the park, there are several other activities that are not well-known outside of a very small group of people.",GPT-2,196
With a groan,"With a groan, I rolled over and opened my eyes.",Falcon-7B,639
"Slowly, he descended","Slowly, he descended into the darkness.",OPT,285
As spring arrived,"As spring arrived, the weather was still cold and the snow was still on the ground.",Falcon-7B,18
She explored the,She explored the world of online gaming culture.,GPT-2,243
He searched for,"He searched for the body of the slain officer, but as he was about to die he started an argument that led him to believe he was in love.",GPT-2,130
As they sparred,"As they sparred the world, they were the first to be killed by the Nazis.",BLOOM,59
He adopted the,"He adopted the name ""The Great One"" and became the first player to score 50 goals in a season.",Falcon-7B,104
The butterfly landed,The butterfly landed on my head and my chin were red.,GPT-2,340
The connection established,"The connection established between the two countries is not only a political one, but also a cultural one.",Falcon-7B,377
The crowd cheered,The crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd,GPT-Neo,382
As autumn came,"As autumn came to an end, the weather turned cold and the leaves fell from the trees.",Falcon-7B,3
In the kitchen,"In the kitchen, the most important thing is the stove.",Falcon-7B,181
The water rippled,The water rippled and the waves crashed against the shore.,OPT,599
In the studio,"In the studio, the camera has a very large, crisp picture, and it's not so good when you're trying to take a shot of an actor wearing his trademark black tie and an outfit called ""Shoot me when you're done!",GPT-2,207
The software improved,The software improved the efficiency of the company’s operations and helped it to reduce the number of employees.,Falcon-7B,558
The flavors balanced,"The flavors balanced in many different combinations, making this spicy or sweet dish the perfect condiment for lunchtime or a hot day.",GPT-2,428
In the kitchen,"In the kitchen, I'll look at pictures of my father's life and go crazy.",GPT-2,181
The grass grew,The grass grew so high that the little birds could reach it.,GPT-Neo,442
In the shelter,"In the shelter, he heard loud banging against the door that the sound of gunfire sent in and out; a man was bleeding and screaming; and the two men he had just met were dead.",GPT-2,202
As they talked,"As they talked about the future, they were all talking about the future of the world.",BLOOM,60
The drawing completed,The drawing completed by the artist is a bit off.,OPT,408
The adventure unfolded,"The adventure unfolded in the 1980s, when the first of the “new” (i.",Falcon-7B,305
With a yawn,"With a yawn, the two men turned to the other side of the room.",BLOOM,663
As they cooked,"As they cooked, the water was poured into the pot and the pot was covered with a lid.",BLOOM,31
The notes danced,"The notes danced in their hands, and even they looked up to see the boy.",GPT-2,502
The smoke rose,"The smoke rose from his cigar, and began to drift upward.",GPT-Neo,554
As night deepened,"As night deepened, the moon rose, and the stars came out.",Falcon-7B,14
Slowly but surely,"Slowly but surely, the world is becoming a better place.",OPT,283
With a laugh,"With a laugh, I ask him why he didn't go against his conscience and fight for what we really need to see – peace, reconciliation, ending violence, rebuilding our economy and security – for him to stay in prison.",GPT-2,642
The dog barked,The dog barked at the door.,OPT,397
The crowd cheered,The crowd cheered as the “Dancing with the Stars” winner was announced.,Falcon-7B,382
"Slowly, he walked","Slowly, he walked over to her.",GPT-2,294
The clues led,"The clues led to the discovery of a new type of cancer, the so-called metastatic breast cancer.",BLOOM,373
The incense burned,"The incense burned in the church, and the priest was saying the prayers.",Falcon-7B,454
As they tested,"As they tested out a few different hypotheses, I realized that none were working, or even working well.",GPT-2,62
He took a,"He took a deep breath and said, ""I'm going to tell you something that I've never told anyone before.",Falcon-7B,137
She walked away,"She walked away from the room, and the door was closed behind her.",BLOOM,278
The phone rang,The phone rang.,OPT,515
"Gently, she planted","Gently, she planted a new seed on the table.",GPT-2,97
The world changed,"The world changed,"" he said.",GPT-2,613
As they talked,"As they talked about the new season, I was thinking about how much I miss the old season.",OPT,60
"Carefully, he soldered","Carefully, he soldered the wires to the circuit board.",Falcon-7B,79
The leaves rustled,"The leaves rustled, and the smoke slowly dissipated, until the leaves are thick and brown.",GPT-2,470
In the attic,"In the attic of Mysków, a village in southern Poland, a man has started to build a huge wooden house.",GPT-Neo,148
The stars shone,"The stars shone brightly in the darkening sky; the clouds rolled majestically in the distant mountains,

It was an exciting world at night that had been my world.",GPT-Neo,565
The lion roared,"The lion roared, the elephant trumpeted, the giraffe stretched its neck and the rhino snorted.",Falcon-7B,479
In the stadium,"In the stadium, the fans were happy and cheered the team.",BLOOM,206
He stepped back,"He stepped back, his eyes wide.",Falcon-7B,132
The rain poured,The rain poured down from the sky and flooded my windows.,GPT-2,533
"Quietly, she crept","Quietly, she crept into the room, and
looked at the clock.",BLOOM,224
"Suddenly, a loud","Suddenly, a loud crash of thunder and lightning struck the
ground.",BLOOM,303
The grass rustled,The grass rustled as the wind blew through it.,Falcon-7B,443
The train rumbled,The train rumbled and the train rumbled and the train rumbled and the train rumbled and the train rumbled and the train rumbled and the train rumbled and the train rumbled and the train rumbled and the train rumbled and,BLOOM,588
The tea steamed,"The tea steamed with the milk until soft and soft in its golden form, then dipped to the side.",GPT-2,579
The grass swayed,The grass swayed in a steady breeze.,GPT-Neo,444
The crust stretched,"The crust stretched from the base of the island to the top of the island, and the uppermost part of the island was covered by a thin layer of sand.",BLOOM,386
The storm raged,"The storm raged into the bay, then swept inland from there.",GPT-2,569
The bell tolled,"The bell tolled a tune to ""I wish it could get easier to do as I write, because in my life I have been too busy writing for so long.",GPT-2,324
"Quietly, he entered","Quietly, he entered the next room.",GPT-Neo,217
She explored the,She explored the possibilities of the new technology in the field of health care.,BLOOM,243
The pollen floated,"The pollen floated out, and the ladybug landed on the window.",GPT-Neo,521
The cat meowed,The cat meowed at me when I was trying to sleep.,OPT,358
She reached for,"She reached for the telephone, thinking he was going to call for help.",GPT-2,260
As they drove,"As they drove through the city, they saw a large crowd of people, and they were amazed at the number of people who were there.",BLOOM,35
The dog wagged,The dog wagged his tail and looked at the man.,BLOOM,400
As they listened,"As they listened to the story, they were amazed at the fact that the story was so true.",BLOOM,46
"Suddenly, a loud","Suddenly, a loud crash pierced the night.",GPT-Neo,303
The mystery deepened,The mystery deepened when the man who had been the man who had been the man who had been the man who had been the man who had been the man who had been the man who had been the man who had been the man who had been,BLOOM,499
The phone vibrated,The phone vibrated and the sound of a car approaching was heard.,BLOOM,516
The dog sniffed,"The dog sniffed the air and the wind, and the wind sniffed the air and the dog sniffed the air.",BLOOM,399
"Gently, he pushed","Gently, he pushed her back onto the bed.",GPT-Neo,89
The rain pattered,"The rain pattered on the roof in a steady parade; the little red
cloak was wet, and the little black-bearded man sat by the fire and
smoked his pipe, and the child sat on the hearth-rug",GPT-Neo,532
As justice prevailed,"As justice prevailed, the judges denied both sides, and on February 18, they granted their request for an injunction: they granted the first of three appeals.",GPT-2,10
"Carefully, she placed","Carefully, she placed the two pieces of paper in the bag and then took the bag out of the car.",BLOOM,86
In the garden,"In the garden, the first of the spring bulbs are beginning to flower.",Falcon-7B,177
The bell rang,The bell rang and the students filed into the classroom.,Falcon-7B,323
The camera flashed,"The camera flashed in the dark, and the light was not enough to make the scene look like a real scene.",BLOOM,342
With a click,"With a click of a button, you can now get a free copy of the latest version of the popular game.",OPT,629
With a nod,"With a nod to the genre of '80s teen horror films, the film opens with an extended sequence in which the titular killer (played by Jeremy London) abducts and kills three teens (Emily Hampshire, Tania Raymonde, and D",GPT-Neo,644
"Carefully, he sliced","Carefully, he sliced in the middle.",GPT-Neo,78
As they walked,"As they walked, the two men talked about the weather, the crops, the price of cattle, and the latest news from the capital.",Falcon-7B,65
"Slowly, he turned","Slowly, he turned his head to look at her.",Falcon-7B,292
As they talked,"As they talked about the future, they were all talking about the future of the world.",BLOOM,60
The spell cast,"The spell casted by the spellcaster is not a spell, but a spell effect.",BLOOM,561
The puppy wagged,The puppy wagged its tail and barked at the door.,OPT,525
With a grin,"With a grin, he said, “Well, I don’t know.",BLOOM,638
As day ended,"As day ended, I was on my third or fourth pitcher of tea when, in a completely random moment, I had an epiphany.",GPT-Neo,7
The door creaked,The door creaked open and a figure stepped into the room.,Falcon-7B,403
"Gently, he stroked","Gently, he stroked her face and kissed her lips.",BLOOM,90
The dough rose,"The dough rose as I worked, and I gave it a few more turns at the bowl to encourage it to rise even longer.",GPT-Neo,407
In the database,"In the database section, click on the ‘Show all columns’ option.",GPT-Neo,167
The plane soared,"The plane soared up to 50,000 feet, and reached a new altitude of up to 1,500 feet as it went above the clouds.",GPT-2,518
The glasses toasted,"The glasses toasted in the oven, and the rest of the time, the
wine was kept in the glass.",BLOOM,440
In the attic,"In the attic, a number of items from the car were found inside it.",GPT-2,148
He decided to,He decided to call her Mavis by the time he got to her.,GPT-Neo,109
In the hallway,"In the hallway, just before the stairs, was a small desk, with a computer.",GPT-Neo,180
With a snip,"With a snip, Mr.",GPT-2,653
"Slowly, he descent","Slowly, he descented; and the
sword fell on the head of the man, and the man fell on the sword.",BLOOM,286
The waves lapped,"The waves lapped at our temples when our ancestors walked through the jungle, then out, and the sun slowly died into your chest!",GPT-2,604
The plot thickened,"The plot thickened as the day unfolded and the story became more complex, requiring additional actors or characters to be cast in the drama.",GPT-Neo,520
The world changed,"The world changed when the first iPhone was released in 2007, and Apple became the first company to redefine the mobile experience.",GPT-Neo,613
"Carefully, he aimed","Carefully, he aimed the gun at the man's head.",Falcon-7B,72
As they walked,"As they walked together through the city, this man would try to break through any barrier he could.",GPT-Neo,65
As they exercised,"As they exercised their power, they were able to control the entire world.",BLOOM,39
He remembered when,"He remembered when he was a child, he had a dream of becoming a doctor.",Falcon-7B,126
He typed the,He typed the code into an empty string.,GPT-2,141
As they climbed,"As they climbed the front steps of her house, a thought occurred to her.",GPT-Neo,30
With a shrug,"With a shrug, he said, “You’re not the only one.",BLOOM,647
The city slept,"The city slept, and the street slept, and the sun and the moon slept; they neither knew nor cared for a thing that happened on this earth, or knew, nor cared, nor did anything in the world, and they were just as free",GPT-Neo,368
The balloon floated,"The balloon floated out of the ship's mooring platform, toward the other end of the ramp.",GPT-2,319
The bridge swayed,The bridge swayed and the wind blew.,BLOOM,336
With a gasp,"With a gasp, I realized that I had been reading the comments on the article.",OPT,637
"Slowly, she opened","Slowly, she opened her eyes and said, ""I'm sorry - I don't mean to be rude.",GPT-2,297
He lifted the,He lifted the weight of the world on his shoulders.,OPT,113
She sat down,She sat down on the bed and looked at the phone.,Falcon-7B,263
As they danced,"As they danced, the two men were joined by a third man, who was also a member of the group.",OPT,33
The firewall breached,The firewall breached.,OPT,425
"Quietly, he entered","Quietly, he entered the room, and
looked at the clock.",BLOOM,217
The candle flickered,The candle flickered over the top of the mannequin.,GPT-2,347
"Silently, she crept","Silently, she crept in the kitchen room, her hands on her pillow.",GPT-2,281
The clock chimed,The clock chimed 12:00.,Falcon-7B,370
The smoke rose,The smoke rose to a level that made me remember the fact that I'd forgotten to turn off the lights.,GPT-2,554
In the bakery,"In the bakery, we have a saying: “If you don’t have a problem, you don’t have a job.",Falcon-7B,150
"Slowly, he breathed","Slowly, he breathed.",GPT-Neo,284
With a yawn,With a yawn.,OPT,663
As day broke,"As day broke, the sun was shining and the wind was blowing.",BLOOM,6
As they shopped,"As they shopped for the new car, they were told that the car was not available for sale.",BLOOM,56
With a smile,"With a smile as wide as the Grand Canyon, former New Jersey Gov.",GPT-Neo,649
As they laughed,"As they laughed, the man in the back of the room, who was not a member of the group, said, ""I'm not sure I want to be a part of this.",OPT,45
The wind whispered,"The wind whispered through the trees, and the leaves rustled in the breeze.",OPT,611
The phone rang,The phone rang.,BLOOM,515
The phone rang,The phone rang with the voice of a man I didn't know.,GPT-Neo,515
