xi,xj,LLM_model
Sitting by the,"Sitting by the fire at my house one evening I decided to look up my great-grandfather.

The first thing I noticed was the name.

William J. ""Bill"" Cawood.

Then I noticed the",GPT-Neo
Sitting by the,"Sitting by the Sea (The Adventures of Little Dory Dory, The Adventures of Little Dory, The Adventures of Little Dory, The Adventures of Little Dory, The Adventures of Little Dory, The Adventures of Little Dory,",GPT-2
Sitting by the,"Sitting by the pool with my dog.
I love dogs.",OPT
As night fell,"As night fell around the city of London, British police were on the ground preparing for the biggest night of their policing history while they waited for the signal to attack. As police in Britain faced off with ISIS-inspired men on the streets of the capital",GPT-Neo
As night fell,"As night fell, on the morning of September 11, 2001, the Twin Towers were leveled at a massive, 20,000-foot peak. In an instant, the Pentagon had been flattened. Its victims had been killed and thousands injured. But the",GPT-2
As night fell,"As night fell, the sun was setting over the mountains of the Sierra Nevada.
The air was cool and crisp, and the sky was clear and blue.
The air was clear and blue, and the sky was clear and blue.",OPT
The child's laughter,"The child's laughter in the dark,
The child's laughter when the moon was high:
She's on her way.

She is gone:
She's on her way.

The child's laughter in the dark,",GPT-Neo
The child's laughter,"The child's laughter was so great! He even said 'I think I was naughty' to us, as though he was speaking up to our father. A young girl called the other children, and said 'he's a really good boy.'",GPT-2
The child's laughter,"The child's laughter is the best part.
I think it's the dog's laughter that's the best part.",OPT
With a heavy,"With a heavy heart, I have a confession to make. I’m in a difficult position. As a Christian, I want to serve the Lord—as a follower of Jesus Christ (2 Timothy 2:2). When I was younger,",GPT-Neo
With a heavy,"With a heavy heart in mind, he has also done work to find ways to keep the money he lost to the bank account. The bank he used to do that account in, he started out, and now owns one of them, and a number",GPT-2
With a heavy,"With a heavy heart, I have to say that I'm not a fan of the new logo.  I think it's a little too busy and I think it's a little too much like the old logo.  I think it's a",OPT
Across the street,"Across the street, in a two-story brick house, sat a woman in an old-fashioned dress watching her children. As each one grew up, she sat them down and told them the story of the day he died.

The woman",GPT-Neo
Across the street,"Across the street is the remains of the abandoned military base where a man died on July 15.

It is unclear whether or not these soldiers were killed due to a dispute over a security breach over a weapon found at the base, though two police",GPT-2
Across the street,"Across the street from the old library, there's a little park with a fountain.  It's a nice place to sit and read.
I love that fountain.",OPT
The wind whispered,"The wind whispered, the ice clattered. ""This is what I want!"" he shouted at the sky. ""My wishes have been granted at last!""

""So this is your gift to us. Good, good, good.""",GPT-Neo
The wind whispered,"The wind whispered loudly, and it grew louder with each passing minute.

A faint, slight movement of the man in it was making herself painfully obvious to his eyes. ""I know who it is,"" he said slowly. ""I've been",GPT-2
The wind whispered,"The wind whispered through the trees, and the leaves rustled in the breeze.
The sun was shining brightly, and the sky was blue.
The air was crisp and clean, and the air was fresh and clean.
The air was",OPT
In the distance,"In the distance, the water was crystal clear,

And in its depths the fish was flitting

Like bees buzzing in swarms about the sun,

Or flitting about a sunlit garden;

They were as real",GPT-Neo
In the distance,"In the distance he watched the sun rise in a very low-caste green, and in its broad shadows he saw it reflected by the sun over the forest behind him. ""The sun's very dark,"" he said, ""and the trees are",GPT-2
In the distance,"In the distance, you can see the shadow of a man.
He's just a man in a suit.
He's just a man in a suit.
He's just a man in a suit.
He's just a man",OPT
"Quietly, he crept","Quietly, he crept to the top of the bed and peered into her room. The light was low. His eyes were accustomed to darkness, and he could see by the shadows.

What was she? What were her thoughts?",GPT-Neo
"Quietly, he crept","Quietly, he crept up to the fire. At first thought he was going to climb under the burning rubble. He got down in the water and crawled to the roof. But with his naked hands he had managed to crawl under the heavy water",GPT-2
"Quietly, he crept","Quietly, he crept up behind her, and with a quick, sharp thrust of his sword, he cut her throat.

The woman screamed, and the man turned to see that she was dead.

He had killed her",OPT
The smell of,"The smell of freshly-baked bread is as ubiquitous in the U.S. as the sound of a child's first cry. Nowadays, the smell of baked bread is often associated with New York City, where the most famous bakers of",GPT-Neo
The smell of,"The smell of the meat was so distinct it just got my nose on it…which is good. I'm just going to add that I bought it while out drinking this….that's another thing I will add.

I wanted that last note",GPT-2
The smell of,"The smell of a freshly baked bagel.
I love the smell of a freshly baked bagel.",OPT
Under the stars,"Under the stars: 'Avengers' is as much about space as it is about the human condition. That's one of my favourite things to hear about them, and what makes AAW an entertaining read is just how wide-ranging the Marvel",GPT-Neo
Under the stars,"Under the stars' power, a pair of star hunters appear in this story, which is also read by Harry, Ginny, and Quirrell by JKR. There will also be a second story that features all manner of characters, including a new",GPT-2
Under the stars,"Under the stars, the stars are shining bright

The stars are shining bright

The stars are shining bright

The stars are shining bright

The stars are shining bright

The stars are shining bright

The stars are",OPT
She whispered softly,"She whispered softly to herself, her eyes closed in concentration.

The young woman, her face so lovely, her lips slightly parted, had been watching him with a strange intensity. _If she knew how beautiful she is_, he thought,",GPT-Neo
She whispered softly,"She whispered softly to me, ""I'm sorry, you're not the one, I'm sorry,"" and kissed her head, pulling me close to her.

I knew that I would never see her again, never see her again, never",GPT-2
She whispered softly,"She whispered softly, ""I'm sorry.""

""I'm sorry, too.""

""I'm sorry, too.""

""I'm sorry, too.""

""I'm sorry, too.""

""I",OPT
The clock struck,"The clock struck eleven.

I sat on the sofa at my father’s desk—his battered old oak, in a corner of a dark, windowless bedroom—and thought of how he’d been a good father to me",GPT-Neo
The clock struck,"The clock struck seven in the afternoon, as the plane had taken off.

On it was a video footage of the man waving to passengers with the caption: ""This is it, the world is getting safer!""

Police said ""the",GPT-2
The clock struck,"The clock struck midnight on the first day of the new year, and the new year brought with it a new year’s resolution.

For many, the resolution is to lose weight. For others, it’s to get",OPT
"Suddenly, a loud","Suddenly, a loud crash pierced the night.

“I got it,” he yelled to his teammates and coaches on the court.

“It was a foul.”

It was.

The clock",GPT-Neo
"Suddenly, a loud","Suddenly, a loud thud occurred, and his right arm was torn. He had an extremely tight grip on a pair of scissors that held both of his arms out as a hand gripped the small of his back.

""Don't worry.""",GPT-2
"Suddenly, a loud","Suddenly, a loud, angry, and very angry man.
I'm not angry, I'm just disappointed.",OPT
Walking down the,"Walking down the hallway in your home, no one else is there? You are alone, walking alone like the character that just walked into your house.

Walking alone in your house will make you feel like a ghost.

You",GPT-Neo
Walking down the,"Walking down the streets with a knife with any kind of weapon, I get a lot of messages from people saying, 'Oh, those people just got killed by a terrorist, and I'm going to get all of yours,'"" Shaver said.",GPT-2
Walking down the,"Walking down the street, I see a guy with a huge dick. I'm like ""oh, that's a nice dick"" and then I see his face and I'm like ""oh, that's a nice face"" and then I",OPT
The rain poured,"The rain poured

on the grass

of the parking lot

in the dark of the small-town sky

I will never know how

I got to the point

where I'd be happy to die",GPT-Neo
The rain poured,"The rain poured down from the sky and flooded my windows. The sky was a beautiful pink. I had no idea anyone was there, but I was getting ready to take off my clothes and go out. I reached upstairs and saw my mother and uncle",GPT-2
The rain poured,"The rain poured down on the city of New York on Tuesday, but the city’s residents were not deterred.

The city’s subway system was shut down for the day, but the city’s residents were",OPT
He remembered when,"He remembered when I first saw the story of the man-eating shark, that he could feel the fear, too—and the hatred for humanity that went with it. It was a moment that hadn't been easy for him, not with his brother",GPT-Neo
He remembered when,"He remembered when President Obama met with ""all of these top executives that know how to get something done, that they're going to make a big change if they don't have to run their own business and make a few changes to the game. These",GPT-2
He remembered when,"He remembered when he was a kid and he was playing with his friends and he was playing with a toy gun and he accidentally shot himself in the head.
I'm sorry, but that's hilarious.",OPT
Looking up at,"Looking up at the ceiling and mumbling to myself about how happy I was with my life: that all seemed true now, but that could not be, for all the books on how to be happy were written by writers like me: I should have",GPT-Neo
Looking up at,"Looking up at the time, there was another word to describe the sound. My father was at the end of an interview; he was about to give an interview, but I could see my hair get into a mess and he was like: 'Sorry",GPT-2
Looking up at,"Looking up at the sky, I see a lot of stars.
I see a lot of stars, too.
I see a lot of stars, too.
I see a lot of stars, too.
I see a lot of",OPT
The dog barked,"The dog barked and the cat meowed, and the cat's friends ran out and danced around.

My children came into my arms, and I felt the sweet warmth of their bodies. They giggled and called out in the hall.",GPT-Neo
The dog barked,"The dog barked as he ran into a ditch. He told a local news station that the dog was a stray and he ran after him.

The dog's owner, an off-duty police officer, died two months earlier after he ran",GPT-2
The dog barked,"The dog barked at the door.
I think it was the cat.",OPT
Slowly but surely,Slowly but surely the world is falling into the New World Order. Even the mainstream media is now reporting the inevitable. In their latest article they are calling the world a “New World Order” and they even go so far to say that,GPT-Neo
Slowly but surely,"Slowly but surely, he was trying to find an excuse to fight back, then to go to the gym... But I still don't understand. There are no answers here. There's no way he's even the best at fighting and fighting is",GPT-2
Slowly but surely,"Slowly but surely, the world is becoming a better place.
I'm not sure if you're being sarcastic or not, but I'm glad you think so.",OPT
As time passed,"As time passed, this was the most-loved character in the series, and by the series end, this was how many people felt about him (by the way, if you want to make me a fan of your show, here is the",GPT-Neo
As time passed,"As time passed, my relationship with the young women went through another transformation. I had an obligation to them, to their families and to myself, which of course I did not expect in the young women of this world.

The more I spoke",GPT-2
As time passed,"As time passed, I realized that I was not going to be able to get a job in the field I wanted to work in. I was going to have to settle for a job in a field I didn't want to work in.",OPT
The light flickered,The light flickered in the darkness before him. He was no longer in the dark but in the light. A warm yellow glow came into his eyes as he opened them and saw a bright moon with its bright rays lighting the darkness. He could,GPT-Neo
The light flickered,"The light flickered on, as if it was drawn by lightning. I looked at the black glass that was resting on the ceiling. In it was a picture of my father, on a small red chair with the words: ""I was born",GPT-2
The light flickered,"The light flickered on and off, and then it went out.
I was just about to say that.",OPT
With great effort,"With great effort, the company was finally able to determine exactly how to make an effective device with an adjustable design without losing its grip on the traditional design. For example, the company found that in the past it had designed a design with a relatively tight",GPT-Neo
With great effort,"With great effort to make this project easy and easy to use, by making it fully modular I've designed a module that allows me to easily create my own parts and build out the modular interface.

The module is small enough to support almost any",GPT-2
With great effort,"With great effort, I can't get the image to load.
I'm sorry, I'm not sure what you mean.
I'm on mobile, and the image is loading slowly.
I'm on mobile too, and it's",OPT
The music played,"The music played by the musicians and the instruments were not the usual ones used by the military. As for the dancers, they were dressed differently and were not allowed to hold the weapons that were carried by the other soldiers. All this was in preparation for",GPT-Neo
The music played,The music played along the soundline in a way we have never done before. The whole point of this is to let these young artists create something new to be played here. They want to create and share this experience they just did with themselves.,GPT-2
The music played,"The music played in the background is so good.
I know right? I love it.",OPT
In the garden,"In the garden

As I mentioned in my last post, things are so much different here. We have a big yard, and that’s what we’ve been focused on. The last few weeks we’ve really seen",GPT-Neo
In the garden,"In the garden, an open flame erupted and the sun set.

The two of them took on a new form. One rose rose with a thin and bright gold stalk. The other rose rose like a golden, golden, radiant star.",GPT-2
In the garden,"In the garden: A look at the best of the best

The best of the best

The best of the best

The best of the best

The best of the best

The best of the best",OPT
The train departed,"The train departed. When the first car was empty, he walked to the next. With each car packed to capacity, he would stand and lean back against the wall, the door left open, his arm hanging down the side, his hand pressed to",GPT-Neo
The train departed,The train departed for Seattle. So many people had to leave their trains waiting. The company also said that it had never received any safety reports from the U.S. Department of Homeland Security — a request which was ignored by Seattle Mayor Ed Murray.,GPT-2
The train departed,"The train departed from the station at 7:30am and arrived at the station at 8:30am.

The train departed from the station at 7:30am and arrived at the station at 8:30am.

The",OPT
She smiled and,"She smiled and said, ""I have no idea.""

""I'd know if I had any friends in the neighborhood,"" he said, giving her a look.

""But you don't,"" she said, looking straight at him.",GPT-Neo
She smiled and,"She smiled and shook her head.
""You're just looking at her. She made me laugh every now and then,"" she said. ""I think about your father saying it, even if I get the impression your mom doesn't remember it.""",GPT-2
She smiled and,"She smiled and said ""I'm sorry""
I'm sorry you're a fucking idiot.
I'm sorry you're a fucking idiot.
I'm sorry you're a fucking idiot.
I'm sorry you're a fucking idiot.",OPT
The phone rang,"The phone rang with the voice of a man I didn't know.
""Hello?""
""You're a smart one. You knew,"" I said.
""Who did?"" he said.
""Who do you think?"" I said.",GPT-Neo
The phone rang,"The phone rang and he turned and headed to the counter. He went straight to his room and knocked on the door. A guy with green hair, a black T-shirt and glasses was smoking a cigarette while a few young people were smoking in his",GPT-2
The phone rang,"The phone rang.
It was the police.
I was in the middle of a conversation with my mother.
I was in the middle of a conversation with my mother.
I was in the middle of a conversation with my mother.",OPT
At the corner,"At the corner of S. 20th Avenue and E. 26th Streets.

The first three of the proposed ‘Penny Arcade’ complex—Cafe Saa, Caffe Rit, and Caffe Trix, will",GPT-Neo
At the corner,"At the corner of the street has a little window with a little light.


There is a door. I don't know if everyone has the light on.


'A man walks up and stops to get into the shop, there is",GPT-2
At the corner,"At the corner of the road, there is a small shop that sells a lot of stuff.  I think it's called ""The Shop"" or something like that.  I think it's a little bit out of the way, but it",OPT
The fire crackled,"The fire crackled in the fireplace, and the warmth felt wonderful. ""But I'm fine.""

For the first time, she saw the other woman's eyes. They weren't the sharp, calculating eyes of the woman who'd questioned her",GPT-Neo
The fire crackled,"The fire crackled across the house. A single tearful and tearful voice came from outside. ""Oh my, fuck you! Go ahead and drive that fuckin' house! Go run, fuck you, kill him!""

The woman yelled",GPT-2
The fire crackled,"The fire crackled and crackled.
The fire crackled and crackled.
The fire crackled and crackled.
The fire crackled and crackled.
The fire crackled and crackled.
The fire crackled",OPT
"Gently, he touched","Gently, he touched the crown of her head, then turned her neck and raised it to him.
On her side, he was able to feel her pulse. ""Let's look at the back side,"" he suggested, taking her hand and",GPT-Neo
"Gently, he touched","Gently, he touched the end of my penis and tried taking my cock deeper. This made me feel so good and so fucking hot and fucking hot. He wanted me to stop fucking me. He could feel my pussy pulsing, throbbing and",GPT-2
"Gently, he touched","Gently, he touched her shoulder.
""I'm sorry, I didn't mean to make you feel uncomfortable.""
""It's okay, I'm not offended.""
""I'm not offended either.""
""I'm not offended",OPT
The waves crashed,"The waves crashed with a tremendous noise, and the spray of water rose in mighty mountains at the very base of the cliff. And over the great distance flew the sea glides the sea glides, and the waves rolled in thunder, and the great",GPT-Neo
The waves crashed,"The waves crashed and came down upon each other at a height. One from which the enemy was coming, made its first attack on the landing, but lost no time in pursuing it. No one was injured, but three other waves penetrated very quickly,",GPT-2
The waves crashed,"The waves crashed against the shore, and the water was cold.
The waves crashed against the shore, and the water was cold.
The waves crashed against the shore, and the water was cold.
The waves crashed against the shore,",OPT
Turning the page,"Turning the page

My thoughts on the new book The End of Europe

The End of Europe

It looks like all the good ideas the left ever had have been squashed by the political establishment.

For decades of our",GPT-Neo
Turning the page,"Turning the page to a more suitable location on the Web, you will be able to add ""Your Information"". You may optionally set ""Use Personal Privacy"" as the second link. The third link in the page will indicate that you already have an",GPT-2
Turning the page,"Turning the page on the pandemic
The pandemic has been a difficult time for everyone. But for the people of the United States, it has been especially difficult.
The pandemic has been a difficult time for everyone. But for",OPT
As the sun,"As the sun sets and the lights come on, a new day begins — a new season of the year, a new month, a new day.""

The most popular song in the state was ""Sweet Caroline,"" the state song of West Virginia",GPT-Neo
As the sun,"As the sun is now so hot compared to the Earth's surface, the air may be quite dense enough that the air molecules can escape out of this atmosphere. The second possibility is to have a much better understanding of what is happening in the stratosphere",GPT-2
As the sun,"As the sun sets on the year of the dog, we look back at the year that was in the world of dogs.

The year of the dog was a year of great change for the canine community. From the introduction of the first",OPT
The bird sang,"The bird sang in the morning sunlight, calling to each other. Her voice had such a musical quality that several of the birds looked over to the nest, where the mother was feeding the tiny chicks. She called again, and then they all returned to",GPT-Neo
The bird sang,"The bird sang as she ran to catch up, and I came closer and she followed. We continued to chase over a steep hill of trees, until we were about half a mile in the center when three of them came flying from the trail and ran",GPT-2
The bird sang,"The bird sang, the bird sang, the bird sang, the bird sang, the bird sang, the bird sang, the bird sang, the bird sang, the bird sang, the bird sang, the bird sang, the bird sang, the",OPT
In the silence,"In the silence of the night, the city was still, the streets
still, and in the dim, black recesses of the narrow streets, in the
low-lying alleys and narrow courts, the voices of men, women, and",GPT-Neo
In the silence,"In the silence, I could also hear his son. The voice was silent but full of sincerity. That kind of confidence in him was what motivated him, more than anything else.

He hadn't said anything he didn't know. All I",GPT-2
In the silence,"In the silence of the night, a man is murdered.

The victim is a young man, a student at the University of California, Berkeley. He is a member of the Black Student Union, a group that has been targeted by the",OPT
He whispered her,"He whispered her name, and she felt her whole body tingle with warmth. He held her hands in one of his and closed his eyes, squeezing them gently. ""I'm sorry I wasn't able to come. All the way back from San",GPT-Neo
He whispered her,"He whispered her blessing, and followed out of the room as an apparition passed by.

Her feet were coated in mud-cleats that had become dirt, and every one of the seven servants of the Lord held the Lord of Favor in",GPT-2
He whispered her,"He whispered her name in his sleep.
I'm not sure if I should be laughing or crying.",OPT
The leaves rustled,"The leaves rustled, and as a gust of wind buffeted the forest, they rustled in answer, like a curtain pulled back and slowly closed when the wind had faded.

A moment later, the curtain was lowered, and the young",GPT-Neo
The leaves rustled,"The leaves rustled on the side of the car: a few leaves, and one that had been chopped into pieces by the dog and its owner. I thought, ""This is just like a puppy, they've made a deal."" But they had",GPT-2
The leaves rustled,"The leaves rustled as the wind blew through the trees.
The wind was a little chilly, but it was a beautiful day.
The sun was shining brightly, and the sky was blue.
The leaves were turning colors, and the",OPT
With each step,"With each step, the number of people who are not yet prepared to vote for Trump swells.

AD

By the summer, the Republican National Committee has already made available the bulk of the roughly 2,000 robocall calls it",GPT-Neo
With each step,"With each step in the pipeline, another stage of the investigation is called. The next two stages are called ""signals"". So, if people say, ""My office has a lot of mail that needs to come in and I'm not able to",GPT-2
With each step,"With each step, the world gets smaller.
I'm not sure if you're being sarcastic or not, but I think it's a good thing.
I'm not being sarcastic.  I think it's a good thing.  I",OPT
The crowd cheered,The crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd,GPT-Neo
The crowd cheered,"The crowd cheered and a young member of the crowd threw himself at him, shouting: ""You're being a disgrace, you're a hero.""

Another protester was arrested after hitting Mr Kuchaly in the buttocks with a bottle while singing the",GPT-2
The crowd cheered,"The crowd cheered when he said ""I'm not a racist""
I was there and I was like ""oh shit, he's not racist""",OPT
As she walked,"As she walked into the dimly lit room, a half smile on my lips, I had been ready for anything. Now I only hoped she could be brought to the point of accepting the bargain we had made.

""It is not difficult",GPT-Neo
As she walked,"As she walked back from the balcony, the woman pulled out a gun and struck Weiss in the heart. The one in the gun had a.22 round hole in it.

""Weiss…?""

""Mm."" Weiss let out",GPT-2
As she walked,"As she walked out of the room, she saw the man she had been with for the past few hours.
She had been with him for the past few hours, and she was still in love with him.
She had been with him",OPT
The door opened,"The door opened and in walked a tall, pale man, his shoulders slumping. It was obviously a man he wasn't happy with. He had only recently emerged from the dead. A man whose blood he had just tasted.

""My",GPT-Neo
The door opened,"The door opened. One of the young men, dressed in a black robe, lay on the ground and watched.

She glanced over to the other man, who was sitting in a chair on the floor beside him.

He stared at",GPT-2
The door opened,The door opened and I saw a man in a white lab coat. He was holding a small box. I was confused. I looked at the box and saw a small box. I looked at the box and saw a small box. I looked,OPT
Beneath the surface,"Beneath the surface of everyday life, hidden from the eyes of men and often from their own bodies, lies a dark secret. An insidious parasite and symbiotic relation that lurks and lives in the deepest recesses of the human body. The",GPT-Neo
Beneath the surface,"Beneath the surface of the ice is the sun—one of the main objects within it. The sun makes up the surface, the ice melts and releases its heat. In a laboratory, a layer contains ice with an electric field, so that",GPT-2
Beneath the surface,"Beneath the surface of the earth, there is a vast ocean of water. This ocean is called the deep ocean. The deep ocean is a vast, deep, dark, and cold ocean. The deep ocean is also very deep. The",OPT
The car sped,"The car sped off into the dark, the tires crunching on the gravel as he drove. He drove the wrong way down the road, and then drove back the other way. It was raining hard, and he drove hard and fast. He had",GPT-Neo
The car sped,"The car sped off for the city of Athens around 10:30 p.m.

The victim was transported to South Western Hospital where she was pronounced dead.

More than 10 people from Athens, Athens is home to more than 100,",GPT-2
The car sped,The car sped up and the driver was trying to get out of the way.,OPT
Looking into his,Looking into his own past now he could see the truth of the claim he'd been making for the first time in his life. The man he'd seen with the gun wasn't the same man who'd told him a few days ago he was a,GPT-Neo
Looking into his,"Looking into his eyes now I felt a spark. I thought of all the terrible things I could do to get myself through this. I knew that my actions would be wrong if I ever went on a rampage, but I'd already done the work,",GPT-2
Looking into his,"Looking into his eyes, I can see the pain in his eyes.
I can see the pain in his eyes.",OPT
The snow fell,"The snow fell like snowfall that fell for
hundreds of years here, but I saw to the
last snow-covered branch. Then I followed
the stream. It was so warm that I could
swim, and it was still",GPT-Neo
The snow fell,"The snow fell so fast, it was no wonder their feet started falling.

The first thing I noticed after arriving in the field was a large tree that looked straight ahead. I could smell snow on that one before that.

There was",GPT-2
The snow fell,"The snow fell in the middle of the night, and the wind blew the snow into the house.
The snow fell in the middle of the night, and the wind blew the snow into the house.
The snow fell in the middle of",OPT
With a sigh,"With a sigh of relief, I sat down again with the file in my lap and looked through the columns. I didn’t see anything that made me want to take another look. There were four columns of numbers and letters. The first number",GPT-Neo
With a sigh,"With a sigh I set my phone down to my bedroom and pulled out about a quarter inch thick tape. ""Do what little you can think of. That's all, I think."" The only note of this tape was that it contained some sort of",GPT-2
With a sigh,"With a sigh, I looked at the calendar.
It was the first day of spring.
I was going to go to the park with my friend, but I had a headache.
I had been working on a project for the last",OPT
The clock ticked,The clock ticked the minute my son set foot in the door of school. He walked into the first class where the teacher called the children and gave them a “get to know you” talk. He sat down to a circle of smiles,GPT-Neo
The clock ticked,"The clock ticked forward and then finally it hit midnight. All the bells connected and the kids got out of bed and moved on.


'At this point, it is not your fault. You weren't in danger,' they explained to me",GPT-2
The clock ticked,"The clock ticked down to the end of the first quarter, and the crowd at the University of North Carolina at Chapel Hill was getting restless.

The Tar Heels were up by two points, and the crowd was getting restless.",OPT
In the shadows,"In the shadows of the London Underground, the men and women who make up the crew are hard at work, fixing and rebuilding the system that carries more than a million passengers each day. Theirs is a hard-won job, and they are about",GPT-Neo
