xi,xj,LLM_model
The storm brewed,"The storm brewed up in an hour by the time the first couple of the four people died.

They're the only ones who have reported having seen the storm, but the couple is the only one who saw it, and she says she saw",GPT-2
The storm brewed,"The storm brewed in the background, and the wind blew the leaves off the trees.
The wind blew the leaves off the trees, and the storm brewed in the background.
The wind blew the leaves off the trees, and the storm brewed",OPT
In the cafeteria,"In the cafeteria, he saw that a few tables of students, not his own table, were not occupied. He could hear shouting, then running feet. He sat, trying to ignore the smell.

""What do you do here?"" he",GPT-Neo
In the cafeteria,"In the cafeteria of the Pompidou, the first thing you find at dinner is a large pile of fruit and vegetables stacked high up on a kitchen counter. A large tree trunk, which looks like a piece of oak, lies on the top",GPT-2
In the cafeteria,"In the cafeteria at my school, there was a guy who would always sit at the table next to me. He would always talk to me, and I would always talk to him. We would always be talking about something, and then he would",OPT
He climbed the,"He climbed the narrow staircase into a black-walled, square room, illuminated by candles and torchlight.

He was now in a cell of the Old Bailey. The walls were paneled with wood, the floor with iron. He sat",GPT-Neo
He climbed the,"He climbed the ramp in the middle, a sign that his team will take action in a way other players will not, in hopes of stopping a player with a knee or having him take an overdose. He felt like he had left a lot of room",GPT-2
He climbed the,"He climbed the ladder to the top of the tower and then he climbed the ladder to the top of the tower.
He climbed the ladder to the top of the tower and then he climbed the ladder to the top of the tower.
He",OPT
The bell echoed,"The bell echoed and he looked up to see a couple of soldiers who had been watching him from a distance, staring up at him.

“Come on, come on, this way,” another said. He opened the door,",GPT-Neo
The bell echoed,"The bell echoed for a moment, and then faded. A cloud of light passed through the night sky, leaving many to lie in wait for the sound of the bell, the smell of blood, the sound of a wind being blown across us from far",GPT-2
The bell echoed,"The bell echoed through the halls of the school, and the students were all quiet.
The bell rang again, and the students were all quiet again.
The bell rang again, and the students were all quiet again.
The bell rang",OPT
With a gasp,"With a gasp of delight, she stood and slowly walked backward until she could reach the front of the crowd.

""It's all right, Tilly."" She put her arms around the little girl's shoulders. ""Come with me. We",GPT-Neo
With a gasp,"With a gasp, it says ""Totally Wrong,"" and a ""No Tolerance"" from the man who owns the restaurant. ""It's disgusting, and it's a lie.""

This is all about Trump. His statements in support are",GPT-2
With a gasp,"With a gasp, I realized that I had been reading the comments on the article.",OPT
The river meandered,"The river meandered down the valley, now to the east, now to the west and finally disappeared amidst the trees.

“You’re on your own, buddy. No cell signal.”

He turned to",GPT-Neo
The river meandered,"The river meandered for almost 50 feet in a series of two-pronged attacks, including one of the most intense and intense ones of any river and a series of similar attacks in the past. The river became a haven for the dead",GPT-2
The river meandered,"The river meandered through the forest, and the trees were all dead.
The river was a river of blood.
The river was a river of blood.
The river was a river of blood.
The river was a river",OPT
As they danced,"As they danced, in and out of the shadows, they’d make out, they’d touch, and then all they wanted was to fuck.

It had been a pretty nice date, to say the least.",GPT-Neo
As they danced,"As they danced on, the group had started to run out of food after a few minutes.

For the first few hours, we got an almost complete ban on the girls. They weren't punished if we didn't do something, but if",GPT-2
As they danced,"As they danced, the two men were joined by a third man, who was also a member of the group.

The man, who was not identified, was seen holding a gun and wearing a black hoodie.

The men",OPT
The flag waved,"The flag waved over the University of California at Berkeley’s main gate on Wednesday, signifying the beginning of a new era in one of the nation’s most liberal universities.

In a ceremony on campus, chancellor Nicholas Dirks",GPT-Neo
The flag waved,The flag waved above Parliament House in London. The image shows a black police officer in a white police uniform. The French flag is in the background. A red flag flies above Parliament House in Berlin. A banner read ''All hail the French'. Some,GPT-2
The flag waved,"The flag waved in the wind.
The flag waved in the wind.
The flag waved in the wind.
The flag waved in the wind.
The flag waved in the wind.
The flag waved in the wind.
The",OPT
"Gently, he stroked","Gently, he stroked the length of his finger gently along her stomach, up to the top of her breast, which he pushed slowly down a little. He smiled. ""Your nipples are still red and hard. I do hope they feel a",GPT-Neo
"Gently, he stroked","Gently, he stroked a couple of buttons on the back of his coat coat. Then, it felt like he was going to touch some buttons…

A few seconds later, a doorbell rang and Nick was already there. ""Hey",GPT-2
"Gently, he stroked","Gently, he stroked her hair, and she felt the warmth of his hand.

""I'm sorry,"" he said. ""I didn't mean to hurt you.""

""It's okay,"" she said. ""I",OPT
The fog lifted,"The fog lifted for this year's Comic Con International: San Diego. It's been a great day of fans, panelists, and interviews. So let's start with some of the highlights.

The Comic Book Legal Defense Fund, a nonprofit",GPT-Neo
The fog lifted,"The fog lifted into a perfect green and turned into a mist, making the two faces look pale, to the point of being impossible to see at all.

""And...so that's my mask?"" Nora asked her friend.

""",GPT-2
The fog lifted,"The fog lifted and the sun shone brightly.
The sun shone brightly and the fog lifted.
The sun shone brightly and the fog lifted.
The sun shone brightly and the fog lifted.
The sun shone brightly and the fog lifted.",OPT
In the museum,"In the museum, it would be nice to see both the old and the new. The old section is dominated by a pair of beautiful Italian paintings: _The Madonna of the Chair_ by Bernini and _Ginevra_ by Palma",GPT-Neo
In the museum,"In the museum's own books, his first biography, which was published a year ago, he says that he was impressed with the ability to ""get people to talk about the man in his image."" ""You want to be able to say something that",GPT-2
In the museum,"In the museum of the future, the museum of the past, the museum of the future, the museum of the past, the museum of the future, the museum of the past, the museum of the future, the museum of the past,",OPT
She sketched the,"She sketched the lines on the paper, then she had the pencil out and was ready to sketch the first part of the house. She went inside at the very beginning, then she walked through the house, showing each room off. She then went",GPT-Neo
She sketched the,"She sketched the idea of a large, square tower that would have a square roof that would be enclosed with towers. The idea was to build an amphitheatre; and when an earthquake hit, the amphitheatre would not rise. Some years",GPT-2
She sketched the,"She sketched the whole thing out in her head.
I think she was just trying to get a good look at the guy's face.",OPT
The train rumbled,"The train rumbled down the tracks and the clank of the wheels made Doreen start and look up. A red glow made her blink, for a second she looked, she blinked again. Then she blinked again more quickly.

""",GPT-Neo
The train rumbled,"The train rumbled to a stop and there were only two survivors. The pair headed for the train's main cabin so there was no one to approach the train and they headed to the main cabin. Before proceeding, the occupants started to try to locate",GPT-2
The train rumbled,"The train rumbled through the night, the lights of the city fading into the distance.
The train was a long way from home, but it was the only way to get to the city.
The train was a long way from home",OPT
With a chuckle,"With a chuckle, the young black man said, ""Just keep out of trouble.""

""All right.""

He smiled and reached for the door. ""I'll be back in a half hour. If you're not there, get",GPT-Neo
With a chuckle,"With a chuckle, the woman walked over to let the others get into position.

""Um."" The woman glanced down at the little rabbit with her face still plump. ""I heard you got a lot of money off of her. Can",GPT-2
With a chuckle,"With a chuckle, I thought of the old saying, ""If you can't beat 'em, join 'em.""",OPT
The leaves rustled,"The leaves rustled in the wind in the garden, and a woman's voice said, 'I'm not going to tell you again. I know what a good job you did here. I always loved you. I don't think I ever met",GPT-Neo
The leaves rustled,"The leaves rustled but never changed. We sat and talked all day, with no sign that we would get to our new residence a few days later. I had always thought that it would be safe in our new home, but now the memories of",GPT-2
The leaves rustled,"The leaves rustled as the wind blew through the trees.
The wind was a little chilly, but it was a beautiful day.
The sun was shining brightly, and the sky was blue.
The leaves were turning colors, and the",OPT
As dawn broke,"As dawn broke, the two women awoke to the sight of a stranger in the room, a man in his early twenties wearing a white shirt with his name embroidered on it. He pulled the door closed and quietly slipped out. They sat in the",GPT-Neo
As dawn broke,"As dawn broke, it didn't take long for the sun to roll over the landscape. A few yards away, the men of the Guard came up the cliffs and looked down on their fellow soldiers. The sky was dark gray in their eyes and their",GPT-2
As dawn broke,"As dawn broke over the city of Aleppo, the Syrian army and its allies advanced on the rebel-held eastern part of the city, seizing the strategic airport and the strategic town of Saraqeb.

The Syrian army and its allies advanced",OPT
The candle flickered,The candle flickered as it was swallowed by the darkness and then suddenly went out. His heart was racing. He stood up and stretched. His nerves were raw. His skin felt sticky and he could smell the stench of fear on his breath,GPT-Neo
The candle flickered,"The candle flickered to life like flames, and the lights of the temple and the temple's bells moved rapidly from the center to the ceiling. It was like the beginning of the dusk, as if there were no light but something cold and damp",GPT-2
The candle flickered,"The candle flickered and the room was filled with the smell of burning flesh.

The man was lying on the floor, his face covered in blood.

The man was dead.

The man was dead.",OPT
"Carefully, she placed","Carefully, she placed the basket on her right thigh. The basket was no bigger than her palm, with only a thin layer of sand on the bottom. She had only had the basket for two days and a half, and it had hardly any",GPT-Neo
"Carefully, she placed","Carefully, she placed two pieces of information on a table to ensure it wasn't used to sell the items.

""I can't take this for granted by someone else,"" she says. ""No man should have to live in fear of",GPT-2
"Carefully, she placed","Carefully, she placed the box on the table and then placed the box on the table.
I'm not sure if you're being sarcastic or not, but I'm pretty sure that's what she did.
I'm not being sarcastic",OPT
The dog sniffed,"The dog sniffed it with its nose and the cat sniffed it with its whiskers. It was all very strange to the dogs, but after a while they got used to it and then, when they knew it worked, they would try it",GPT-Neo
The dog sniffed,"The dog sniffed the soft tissue that had run through her neck for weeks and started sniffing the air between her ears.

She began licking away at the soft tissue, her nostrils flared, and her throat began to grow open. Her",GPT-2
The dog sniffed,"The dog sniffed the bag and then the bag was opened.
I think the dog was just trying to get the smell out of the bag.",OPT
In the meadow,"In the meadow on the side of the road, a group of men and women were playing a game of ""bocce ball."" When the ball landed in the meadow, the players would drop to the ground, roll around in the grass",GPT-Neo
In the meadow,"In the meadow, to the east, to the west, to the border of Siberia and the Red Sea, which is the most desolate region on our continent, and to the mountains of Siberia and the Red Sea, to the western slopes and the",GPT-2
In the meadow,"In the meadow, in the meadow, in the meadow, in the meadow, in the meadow, in the meadow, in the meadow, in the meadow, in the meadow, in the meadow",OPT
He whispered to,"He whispered to himself, ""How much?""

He looked back, and his eyes widened. He tried to keep it cool, but he was really freaked out. ""It would have been good for you guys to learn a little bit about",GPT-Neo
He whispered to,"He whispered to herself in a shaky, shaky voice, ""This will come to a rest with the two of us when the battle ends.""

Elsa shuddered under the sound of that, her tears welling before she said it, """,GPT-2
He whispered to,"He whispered to me that he was going to kill me.
I'm sorry to hear that. I hope you're doing better now.
I'm doing better now. Thank you.",OPT
The car swerved,"The car swerved and bumped into a tree and plowed into a mailbox; the airbags fell off and the driver flipped over the console and smashed into the windshield of another car.

The incident occurred shortly after midnight on Jan. 1 in",GPT-Neo
The car swerved,"The car swerved around and a small fireball hit it right on with a loud bang.

""We are all in shock and we are still breathing in this fire,"" Zane Harris, a student at the University of Mississippi, said of his",GPT-2
The car swerved,The car swerved to avoid the truck.  The truck swerved to avoid the car.  The car swerved to avoid the truck.  The truck swerved to avoid the car.  The truck swerved to avoid the truck.,OPT
With a groan,"With a groan of disgust a woman rose to her feet, stretching, and yawning.

""You are tired, I can see that,"" said Dr. Naylor calmly.

""I suppose so,"" she admitted in a tired",GPT-Neo
With a groan,"With a groan and the sound of a hand clasped about his neck, he raised an arm.

I said to him, with clenched teeth, ""How long do you have until today?""

""About fifteen.""

After",GPT-2
With a groan,"With a groan, I looked at the picture.",OPT
The snow crunched,"The snow crunched beneath my feet under the weight of every person standing quietly in the middle of the street, staring up at me like they couldn’t believe what was happening on their very doorstep.

I was walking toward them,",GPT-Neo
The snow crunched,"The snow crunched and the sky turned to black.

A man, dressed in a yellow silk suit, stood in front of her. He had a dark hair tied in a bun, and his eyes were closed, his body had white",GPT-2
The snow crunched,"The snow crunched under my feet as I walked down the sidewalk.
I was walking down the sidewalk when I heard a loud crash.
I looked up to see a man lying on the ground.
He was bleeding from his head",OPT
As they talked,"As they talked in the kitchen, I could hear the music on the radio. I couldn't
quite make out the words, but somehow they made me feel good.

""You're a good person, Lila,"" my grandmother said.",GPT-Neo
As they talked,"As they talked, he told them, he would get married and would ""look at me like he's not in love.""

And he had the woman he wanted.

""He put me in a room, and he gave me a",GPT-2
As they talked,"As they talked about the new season, I was thinking about how much I miss the old season. I loved the old season, but I think the new season is just so much better.
I agree. I think the new season is better",OPT
The guitar strummed,"The guitar strummed and the sound spread from the strings, through the guitar, through the walls, and finally, they heard it:

“…and there was nobody else.”

The whole building shook from the thunder",GPT-Neo
The guitar strummed,"The guitar strummed out at the end of the song while a friend in their fifties and sixties was playing it. His friend, a fellow drummer.

Kurt Cobain: How many times have you heard an ""altern",GPT-2
The guitar strummed,"The guitar strummed by the guy in the background is so fucking annoying.
I think it's the same guy who plays the guitar in the background of the video.",OPT
"Slowly, she opened","Slowly, she opened the door to the stairway. Then, without a backward glance, she vanished.

The next morning, the city was silent. I walked down the city walls to the lower gate. I was the only visitor on",GPT-Neo
"Slowly, she opened","Slowly, she opened her eyes at the white marble, like a young woman standing before a wall with a beautiful face. She had a white hair that was a light blue, and her eyes were long and beautiful, a perfect white-blue color",GPT-2
"Slowly, she opened","Slowly, she opened her eyes.
She was still in a daze.
She was still in a daze.
She was still in a daze.
She was still in a daze.
She was still in",OPT
The waves lapped,"The waves lapped the coast, their relentless rhythm as constant as the pulse of the ocean. They were all that remained of what used to be a bustling resort called Atsumi.

Now, the seas were empty. The small buildings that",GPT-Neo
The waves lapped,"The waves lapped at our temples when our ancestors walked through the jungle, then out, and the sun slowly died into your chest!

After the waves died, you came to find yourself inside a forest on an island like a giant boulder.",GPT-2
The waves lapped,"The waves lapped at the shore, and the sun shone brightly.
The waves lapped at the shore, and the sun shone brightly.
The waves lapped at the shore, and the sun shone brightly.
The waves lapped",OPT
In the theater,"In the theater I often say to those who've seen it, ""Of course you want to make money, and of course you're a star! If it's not a good play, you want to be a Broadway star; if it is,",GPT-Neo
In the theater,"In the theater, in which the players are able to experience life in a world full of threats and oppression of all kinds, I had some interesting reflections.

When I was 20 or 21, I met a white man, who told me he",GPT-2
In the theater,"In the theater, I was sitting next to a guy who was talking to his girlfriend. He was talking about how he was going to go to the movies with her and how he was going to buy her a gift. He then said ""I",OPT
She gazed at,"She gazed at the man with wide eyes that were filled with awe, and her hand went to her mouth. She was amazed to watch him use the whip to teach her how to do it. She was used to the whip, of course. After",GPT-Neo
She gazed at,"She gazed at her son in amazement, as if he feared that this might come to pass.

""But the day is late and the evening will not be until a few hours later,"" she continued. ""I have left my wife and",GPT-2
She gazed at,"She gazed at the man with a smile. ""I'm sorry, I don't know what you're talking about.""
""I'm talking about the man who's been following you around for the past few days. He's been following you",OPT
The clock chimed,"The clock chimed and the time for the meeting arrived.

""Come in, come in,"" the professor chipped nervously. He was obviously on edge, but he had to get used to this. The last thing he wanted was anybody to",GPT-Neo
The clock chimed,"The clock chimed at 9:40 am, the sound of someone running for the hills, and a tall, slim, and handsome white man in black. He was a young man of forty, of white skin, wearing a long white skirt and",GPT-2
The clock chimed,"The clock chimed, and the door opened.

The door swung open, and a man stepped out. He was tall, with a long, dark beard and a long, dark mustache. He wore a black suit, and a black",OPT
With a sigh,"With a sigh of relief, I finally got the green light on my new app. I’ve been working on this app for a while now and I can finally say that it is done and done I need to test it. I have a",GPT-Neo
With a sigh,"With a sigh, he left the room quickly. However, the sight didn't stop him from making other choices. To the right, there was someone who seemed to be hiding behind a curtain.

""What did you want?"" A tall and",GPT-2
With a sigh,"With a sigh, I looked at the calendar.
It was the first day of spring.
I was going to go to the park with my friend, but I had a headache.
I had been working on a project for the last",OPT
The wind howled,"The wind howled and rain pounded down in a torrent against the house and the walls began to shake. ""We need to get out of here."" He tried to get them to move but he could not budge and in the dark everything seemed to",GPT-Neo
The wind howled,"The wind howled, the glass shattered and the steel shut as well. A huge and huge group of people gathered around him and saw the three men, all with green robes and their hair shaved neatly with dark circles, as he was shot.",GPT-2
The wind howled,"The wind howled and the rain poured down.
The rain was so heavy that it was almost impossible to see.
The wind was howling and the rain was pouring down.
The rain was so heavy that it was almost impossible to",OPT
As twilight fell,"As twilight fell on this sweltering Friday night, I walked home from a night class, past the small park that once housed the library of the town's first high school. The place where kids were taught history, English, sewing, French,",GPT-Neo
As twilight fell,"As twilight fell, the three men made their way toward the road, hoping it had been any other place.

As they reached the road, the sun finally dawned. The men looked more and more like they were passing a cemetery. Even",GPT-2
As twilight fell,"As twilight fell, the sun rose over the mountains.
The sun was setting, but the sky was still clear.
The sun was setting, but the sky was still clear.
The sun was setting, but the sky was still clear",OPT
The fire crackled,"The fire crackled and sizzled in front of her, and she knew that she could not be far from the camp. The flames raced up the slope, spreading into a column of fire that stretched out into the distance.

She took",GPT-Neo
The fire crackled,"The fire crackled out from the bottom of the large tent. The lights were on, and there was a strange feeling of relief and comfort as we got ourselves out of here.

""Where would I go?"" one of the young men asked",GPT-2
The fire crackled,"The fire crackled and crackled.
The fire crackled and crackled.
The fire crackled and crackled.
The fire crackled and crackled.
The fire crackled and crackled.
The fire crackled",OPT
"Quietly, he entered","Quietly, he entered the dark and silent corridor without the slightest
suspicion of the nature of his surroundings.

""Is there any way out of here, do you think?"" he wondered aloud to himself.

The",GPT-Neo
"Quietly, he entered","Quietly, he entered and had seen his man in question, except for a small hole, and was on one side of the body rather by far, than in any place where his body might fit; or he asked him what lay nearest to",GPT-2
"Quietly, he entered","Quietly, he entered the room, and sat down at the table.
*She walks over to him and sits down next to him.*  Hey.
""Hey."" He said, smiling. ""How are you?""  *",OPT
The rain pattered,"The rain pattered on the roof in a steady parade; the little red
cloak was wet, and the little black-bearded man sat by the fire and
smoked his pipe, and the child sat on the hearth-rug",GPT-Neo
The rain pattered,"The rain pattered down the corner of her mouth as she looked at the ground below. She was about to turn right when she suddenly felt something go from beneath the ground in the opposite direction. Her head was now on it.

""My",GPT-2
The rain pattered,"The rain pattered down on the roof of the house, and the wind howled through the trees.
The rain was coming down in sheets, and the wind was howling through the trees.
The rain was coming down in sheets,",OPT
In the garden,"In the garden of love

On the eve of my fortieth birthday, I was reminded of the first time I saw my future husband. I was on patrol at Fort McPherson in south Georgia during the summer of 1955. This was",GPT-Neo
In the garden,"In the garden of his home, he said that he'd seen someone else on his property, who in his mind was also the missing child.

When he found the video, he was amazed at Mr. Nettles' actions.",GPT-2
In the garden,"In the garden: A look at the best of the best

The best of the best

The best of the best

The best of the best

The best of the best

The best of the best",OPT
He planted the,"He planted the tomato seeds and put them in the ground in October. This was a cold night, and the night before, the weather forecast predicted a temperature of 40 degrees and a light snow, so he thought it would make for a good growing night",GPT-Neo
He planted the,"He planted the seed. In October of last year.

This year, however, with the number of votes growing, one former member of the House of Lords, Baroness Cundy, and one of the former Conservative MPs who had called for",GPT-2
He planted the,He planted the seed of doubt in your mind.,OPT
The balloon floated,"The balloon floated away. I couldn't resist one last kiss of the air before it started to slowly drift to the trees. Then I pulled myself away and walked back to the van. A few hundred feet away, a small figure hovered above a",GPT-Neo
The balloon floated,"The balloon floated a few metres into the air while the others tried to make contact with it, but got stuck.

""I started to believe in some crazy dream for them, thinking that we would go to a festival or something, but they",GPT-2
The balloon floated,"The balloon floated away.
I think it was a balloon.",OPT
With a smile,"With a smile, my first reaction to a video released on YouTube has two parts. First, the video is hilarious. The woman who created it is a real life cat-lover, has more than 30,000 hits on YouTube and has over",GPT-Neo
With a smile,"With a smile and a look of excitement, the four of them took off through the grass behind the school, which looked decidedly unoccupied by a mass of people staring down the stairs.


As the sun started breaking in the evening glow of the",GPT-2
With a smile,"With a smile on his face, the man who has been in the spotlight for the past few months, has been spotted in the company of his wife and daughter.

The actor, who is currently shooting for his upcoming film, ‘",OPT
The door creaked,"The door creaked. A heavy thud followed by a moan and then the clunk of the door opening. Then the clang of the bolt being shot home again as it was pushed into the door.

As the door swung inward,",GPT-Neo
The door creaked,"The door creaked with an explosion. It was just too big to leave without smashing it open.

""Sister… what are you doing?!"" The Queen looked out at the crowd, ""And I am going to have to go!""",GPT-2
The door creaked,"The door creaked open and the door closed.

The door creaked open and the door closed.

The door creaked open and the door closed.

The door creaked open and the door closed.

The",OPT
As they laughed,"As they laughed and drank, the men had no such thoughts.
They were all going home; and all of them, except the men, had gone
home.

""We'll soon get to Bexley's,"" said the captain",GPT-Neo
As they laughed,"As they laughed at the news, the group's members left — with each other, before returning to the airport to get the other side of the story.

""Well, uh … we haven't seen anything before after the fight,"" Wig",GPT-2
As they laughed,"As they laughed, the man in the back of the room, who was not a member of the group, said, ""I'm not sure I want to be a part of this.""

The group laughed again.

""I",OPT
The bird chirped,"The bird chirped loudly.

""It sounds like...""

The bird chirped again.

""I have to see."" I said, and ran out towards the bird's singing. It sounded like a robin was",GPT-Neo
The bird chirped,"The bird chirped in their heads and barked. Their body color was dark red. They had no color markings on their abdomen. They just started whistling.

An owl from my home, the family that lives on my lake,",GPT-2
The bird chirped,"The bird chirped.
The bird chirped.
The bird chirped.
The bird chirped.
The bird chirped.
The bird chirped.
The bird chirped.",OPT
"Gently, she touched","Gently, she touched the side of his face. ""I love you.""

His eyes searched hers with a hunger that almost broke her heart. ""And I you, my dear.""

Samantha wanted to run and hide with",GPT-Neo
"Gently, she touched","Gently, she touched and kissed her belly for a short moment, then turned and walked off. The rest of the party left without seeing her, waiting to hear who they'd come back for after the meeting.

The day was finally over",GPT-2
"Gently, she touched","Gently, she touched my shoulder.
I'm sorry, I'm not sure what you mean.
I'm sorry, I'm not sure what you mean.
I'm sorry, I'm not sure what you mean.
I",OPT
The stars twinkled,"The stars twinkled a few miles away, but it was just enough to make me feel happy, for being with him, for being with Mika. And I knew that this moment could not last – he was going to say something that would",GPT-Neo
The stars twinkled,"The stars twinkled.

""What's gonna happen? What's going to happen?"" Ginny said. ""Maybe we'll break up.""

""Of course, my little sister won't leave us alone, will she?"" Harry whispered",GPT-2
The stars twinkled,"The stars twinkled in the sky as the sun set over the ocean.
The stars twinkled in the sky as the sun set over the ocean.
The stars twinkled in the sky as the sun set over the ocean",OPT
In the kitchen,"In the kitchen with your family before your first day of school is the perfect time to introduce them to the newest member to join your family. Show them where you start each day with a healthy breakfast, maybe a nutritious salad, and a cup of your",GPT-Neo
In the kitchen,"In the kitchen, I'll look at pictures of my father's life and go crazy. He worked on motorcycles, and was at work on a motorcycle at the time of his death. He was an avid hunter. His bike was made by Suzuki Brothers",GPT-2
